date,open,close,high,low,volume,amount,code
2011-08-24,3873.4,3855.9,3895.06,3851.07,26993500,36504000000.0,sz399303
2011-08-25,3865.7,3909.38,3909.38,3843.35,27808800,35784000000.0,sz399303
2011-08-26,3891.72,3932.29,3939.05,3891.72,25985600,34233000000.0,sz399303
2011-08-29,3906.81,3907.33,3925.87,3901.04,23977700,32465000000.0,sz399303
2011-08-30,3933.23,3860.56,3940.35,3859.5,24822300,33301000000.0,sz399303
2011-08-31,3857.06,3833.54,3869.63,3791.04,21615800,27914000000.0,sz399303
2011-09-01,3843.99,3813.42,3860.25,3796.28,19545400,24710000000.0,sz399303
2011-09-02,3800.86,3769.2,3810.36,3742.87,17831100,22411000000.0,sz399303
2011-09-05,3721.02,3677.83,3721.82,3677.12,16557900,20819000000.0,sz399303
2011-09-06,3643.73,3654.21,3679.98,3636.52,14891000,18067000000.0,sz399303
2011-09-07,3686.95,3747.2,3747.2,3671.18,20084500,24714000000.0,sz399303
2011-09-08,3758.96,3707.95,3763.73,3707.95,18808200,23879000000.0,sz399303
2011-09-09,3715.88,3683.45,3732.43,3667.1,15691900,20018000000.0,sz399303
2011-09-13,3615.0,3623.46,3632.37,3599.04,15256400,18662000000.0,sz399303
2011-09-14,3644.4,3666.68,3666.68,3584.67,16356900,20224000000.0,sz399303
2011-09-15,3669.28,3673.06,3698.26,3665.25,17680200,22225000000.0,sz399303
2011-09-16,3695.48,3673.7,3699.24,3671.36,15393100,19724000000.0,sz399303
2011-09-19,3649.64,3602.75,3649.64,3602.75,14582800,17953000000.0,sz399303
2011-09-20,3593.56,3622.16,3635.63,3578.67,15196600,18698000000.0,sz399303
2011-09-21,3622.0,3720.36,3721.35,3613.06,23558600,29805000000.0,sz399303
2011-09-22,3684.61,3613.19,3706.41,3613.19,21502700,26822000000.0,sz399303
2011-09-23,3535.95,3576.48,3592.15,3531.18,18439000,21954000000.0,sz399303
2011-09-26,3559.06,3524.37,3593.59,3513.2,15520000,18698000000.0,sz399303
2011-09-27,3561.6,3532.22,3561.6,3497.51,15535800,18775000000.0,sz399303
2011-09-28,3556.74,3473.24,3556.74,3462.79,16078400,19069000000.0,sz399303
2011-09-29,3441.7,3350.98,3443.96,3346.14,16907300,18945000000.0,sz399303
2011-09-30,3364.33,3343.0,3368.09,3302.38,12427300,13693000000.0,sz399303
2011-10-10,3365.03,3329.59,3365.03,3321.19,10630800,12125000000.0,sz399303
2011-10-11,3418.89,3325.66,3418.89,3291.65,15663600,18195000000.0,sz399303
2011-10-12,3296.45,3442.0,3442.0,3281.84,22004800,25014000000.0,sz399303
2011-10-13,3429.2,3491.36,3493.32,3428.65,23393400,28004000000.0,sz399303
2011-10-14,3473.54,3476.58,3488.6,3444.25,17445700,21069000000.0,sz399303
2011-10-17,3485.51,3495.57,3507.46,3471.07,18134900,22598000000.0,sz399303
2011-10-18,3463.39,3392.52,3476.19,3390.73,20365700,24153000000.0,sz399303
2011-10-19,3405.97,3378.55,3409.66,3357.8,16202100,19121000000.0,sz399303
2011-10-20,3356.53,3280.4,3357.19,3251.72,18086200,20954000000.0,sz399303
2011-10-21,3272.12,3219.69,3275.41,3213.93,13972300,15879000000.0,sz399303
2011-10-24,3224.93,3264.8,3264.8,3152.35,18603400,20744000000.0,sz399303
2011-10-25,3254.78,3354.21,3357.28,3253.03,25565300,29366000000.0,sz399303
2011-10-26,3323.32,3385.45,3412.19,3323.32,28540600,34038000000.0,sz399303
